NO.;PROGRAM STUDI;KLS;Link LJU
215;D-III Pajak;5-31;gg.gg/lju_d3pjk_5-31
216;D-III Pajak;5-32;gg.gg/lju_d3pjk_5-32
217;D-III Pajak Alih Program;3-01;gg.gg/lju_d3pjkap_3-01
218;D-III Pajak Alih Program;5-01;gg.gg/lju_d3pjkap_5-01
219;D-III Pajak Alih Program;5-02;gg.gg/lju_d3pjkap_5-02
220;D-III Pajak Alih Program;5-03;gg.gg/lju_d3pjkap_5-03
221;D-III Pajak Alih Program;5-04;gg.gg/lju_d3pjkap_5-04
222;D-III Pajak Alih Program;5-05;gg.gg/lju_d3pjkap_5-05
223;D-III Pajak Alih Program;5-06;gg.gg/lju_d3pjkap_5-06
224;D-III Pajak Alih Program;5-07;gg.gg/lju_d3pjkap_5-07
225;D-III PBB/Penilai;3-01;gg.gg/lju_d3pbb_3-01
226;D-III PBB/Penilai;3-02;gg.gg/lju_d3pbb_3-02
227;D-III PBB/Penilai;3-03;gg.gg/lju_d3pbb_3-03
228;D-III PBB/Penilai;3-04;gg.gg/lju_d3pbb_3-04
229;D-III PBB/Penilai;3-05;gg.gg/lju_d3pbb_3-05
230;D-III PBB/Penilai;3-06;gg.gg/lju_d3pbb_3-06
231;D-III PBB/Penilai;3-07;gg.gg/lju_d3pbb_3-07
232;D-III PBB/Penilai;3-08;gg.gg/lju_d3pbb_3-08
233;D-III PBB/Penilai;5-01;gg.gg/lju_d3pbb_5-01
234;D-III PBB/Penilai;5-02;gg.gg/lju_d3pbb_5-02
235;D-III PBB/Penilai;5-03;gg.gg/lju_d3pbb_5-03
236;D-III PBB/Penilai;5-04;gg.gg/lju_d3pbb_5-04
237;D-III PBB/Penilai;5-05;gg.gg/lju_d3pbb_5-05
238;D-III PBB/Penilai;5-06;gg.gg/lju_d3pbb_5-06
239;D-III PBB/Penilai;5-07;gg.gg/lju_d3pbb_5-07
240;D-III PBB/Penilai;5-08;gg.gg/lju_d3pbb_5-08
241;D-III PBB/Penilai;5-09;gg.gg/lju_d3pbb_5-09
242;D-III PBB/Penilai Alih Program;4-01;gg.gg/lju_d3pbbap_4-01
243;D-III PBB/Penilai Alih Program;5-01;gg.gg/lju_d3pbbap_5-01
244;D-III PBB/Penilai Alih Program;5-02;gg.gg/lju_d3pbbap_5-02
245;D-III PBB/Penilai Alih Program;5-03;gg.gg/lju_d3pbbap_5-03
246;D-III PBB/Penilai Alih Program;6-01;gg.gg/lju_d3pbbap_6-01
247;D-III PBB/Penilai Alih Program;6-02;gg.gg/lju_d3pbbap_6-02
248;D-III PBB/Penilai Alih Program;6-03;gg.gg/lju_d3pbbap_6-03
249;D-III PBB/Penilai Alih Program;6-04;gg.gg/lju_d3pbbap_6-04
